,SymbolsA,EntrezsA,AveExpr,B
204667_at,FOXA1,3169,8.65115658718476,14.6497626180744
215729_s_at,VGLL1,51442,6.13759460387285,13.1500620308488
220192_x_at,SPDEF,25803,9.5218828479889,10.9290495101385
214451_at,TFAP2B,7021,7.43282304943528,10.8925936693362
217528_at,CLCA2,9635,6.76310069182024,9.36433887447729
217284_x_at,SERHL2,253190,9.13330724566698,9.17211181297496
205044_at,GABRP,2568,8.42325372276683,8.72604358779405
211110_s_at,AR,367,7.70802817236694,8.28163997181301
209337_at,PSIP1,11168,8.42616715717158,8.27128970857948
218211_s_at,MLPH,79083,10.9327692345868,7.5301030251949
219736_at,TRIM36,55521,7.04315333910413,7.20872185877943
209786_at,HMGN4,10473,9.81043750131007,7.16674220914419
206509_at,PIP,5304,10.1868139102831,7.03080962413594
204061_at,PRKX,5613,7.68545651806165,7.0151589654287
211682_x_at,UGT2B28,54490,8.57563671253186,6.99497147680434
204942_s_at,ALDH3B2,222,9.30924952152222,6.81316937025762
207039_at,CDKN2A,1029,7.34381046836941,6.5276170033484
202854_at,HPRT1,3251,10.1376019526489,6.13363225360443
219734_at,SIDT1,54847,7.32843618910721,5.79249709815003
212218_s_at,FASN,2194,9.49032008804111,5.74390649498168
218847_at,IGF2BP2,10644,7.03004895548763,5.6705447123492
203058_s_at,PAPSS2,9060,8.99179642765637,5.63568292156112
202345_s_at,FABP5,2171,9.35852321286732,5.55448066270712
221510_s_at,GLS,2744,8.7542815588311,5.07628769672023
214079_at,DHRS2,10202,8.67716893637506,4.97628333629893
212458_at,SPRED2,200734,8.57254372011439,4.83827072170409
201795_at,LBR,3930,10.6284901323861,4.72573240135819
208103_s_at,ANP32E,81611,8.73353171355292,4.27478420365266
212057_at,GSE1,23199,8.65915696787457,4.06120884174317
202672_s_at,ATF3,467,8.27831167668791,4.00694789905953
211138_s_at,KMO,8564,9.15960625921655,3.87584293032808
212446_s_at,CERS6,253782,7.98520804485289,3.8267044108863
205541_s_at,GSPT2,23708,7.69566969402401,3.80860709618907
200670_at,XBP1,7494,10.8853569818718,3.75869996364694
215034_s_at,TM4SF1,4071,9.71092026764562,3.70698419659076
200961_at,SEPHS2,22928,10.7736008226479,3.70295900087132
209900_s_at,SLC16A1,6566,6.7052860322328,3.62563187155396
209170_s_at,GPM6B,2824,8.73693941682099,3.62489175383032
205401_at,AGPS,8540,7.46554751960321,3.52568834951676
200862_at,DHCR24,1718,10.7317206567604,3.51876794677298
219303_at,RNF219,79596,7.93721814834071,3.46062320268243
213680_at,KRT6B,3854,9.14132541961651,3.45743310743444
203740_at,MPHOSPH6,10200,10.9084391325635,3.4563707254897
208763_s_at,TSC22D3,1831,10.4757445208562,3.44664894088686
203741_s_at,ADCY7,113,7.45106385987192,3.40011762292148
201951_at,ALCAM,214,8.54556661139058,3.37479919038645
212771_at,FAM171A1,221061,8.50302574693328,3.32232702197097
213298_at,NFIC,4782,7.71412431828427,3.30594204132701
218738_s_at,RNF138,51444,9.47403814192379,3.29806705737474
203797_at,VSNL1,7447,9.20977858683638,3.22603909082243
209799_at,PRKAA1,5562,6.09087151252176,3.20384541824747
204044_at,QPRT,23475,9.0075447083264,3.13404609774487
206827_s_at,TRPV6,55503,7.67672231408902,3.12116104226394
205221_at,HGD,3081,6.81787347809551,3.11085401436637
203637_s_at,MID1,4281,7.5295201543422,3.06915546554865
218963_s_at,KRT23,25984,7.56668831286299,3.0496185640322
211953_s_at,IPO5,3843,8.23521602730072,3.00157125135954
202589_at,TYMS,7298,10.6259106387763,2.92023322694342
202431_s_at,MYC,4609,9.02107197102844,2.90532704189412
208682_s_at,MAGED2,10916,10.3560687090427,2.89370196947851
212492_s_at,KDM4B,23030,7.9676023955108,2.88997216644296
207843_x_at,CYB5A,1528,10.8844743793101,2.87677671373098
222258_s_at,SH3BP4,23677,10.2850043037193,2.81873690892852
209191_at,TUBB6,84617,10.0942298903052,2.80686346306264
219497_s_at,BCL11A,53335,6.82955419331802,2.80354226946005
204521_at,FAM216A,29902,6.46195625667615,2.77990302825729
201030_x_at,LDHB,3945,11.8140421273227,2.6881371997236
202528_at,GALE,2582,7.96961958631269,2.52417007110051
202862_at,FAH,2184,8.03834833354575,2.51182411242339
205150_s_at,TRIL,9865,7.51000655985159,2.50911305724155
218205_s_at,MKNK2,2872,10.4557591096391,2.44928318363831
