,SymbolsA,EntrezsA,AveExpr,B
2,NA,2,11.2024513592734,-5.48811244851724
9,NA,9,9.11987169946815,-6.27049217983512
12,NA,12,10.8409146417654,-5.78265458244215
16,NA,16,10.259148391591,-6.51714087267746
18,NA,18,6.81467956844106,-2.39313161457922
19,NA,19,10.1542371841492,-3.47496952058062
21,NA,21,7.77983682801834,-6.4830772692116
22,NA,22,7.79235263715625,-6.48831576940255
28,NA,28,6.28238093275566,-6.18311945201282
29,NA,29,8.9675953232536,-6.35681500802047
31,NA,31,7.90590030746346,-5.02711825787923
32,NA,32,7.28216811125446,-6.45530962092246
34,NA,34,9.35803908642798,-3.57994341530514
36,NA,36,5.50060062436975,-5.98358782748452
37,NA,37,9.8876029129729,-6.46172562357027
38,NA,38,10.3968985984228,-6.43559252804307
39,NA,39,8.15820728667331,-4.61209084443145
47,NA,47,11.5127506197146,-4.62304626015509
48,NA,48,9.20890018996066,-6.51467115820793
51,NA,51,8.50950186676672,-3.15668822622443
52,NA,52,8.30112700059727,-5.41029771847563
53,NA,53,8.95557394141656,-3.79439907923881
54,NA,54,9.1182636243378,-5.55031711425058
59,NA,59,11.9777515253004,-6.50992874062012
72,NA,72,7.97098589435747,-4.19773559183472
86,NA,86,8.42376268668986,-1.03863694027963
87,NA,87,10.9377572542638,-5.95591788695704
90,NA,90,9.33411415411939,-6.15612755956733
91,NA,91,7.39200093295727,-2.05361327016183
97,NA,97,7.11364792550376,1.79596513658131
100,NA,100,6.47207461995606,-5.76389279268747
101,NA,101,7.95669349478477,-4.97320325361894
102,NA,102,10.6007379659003,-4.11492995193846
103,NA,103,11.9300102893337,-3.83520084545468
104,NA,104,7.81615156587526,-4.42661271504064
107,NA,107,8.19732999765899,-6.17652376497021
108,NA,108,7.69735157093863,-4.28576152730332
109,NA,109,7.55586844156346,-4.35079592207701
112,NA,112,8.36297104961144,-4.25544828511635
113,NA,113,7.45106385987192,3.40011762292148
115,NA,115,8.24779752885976,-5.23230135325323
